                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5595,                 2.9236,                 1.1858,                 0.0034,                0.95918,                0.21055,                0.13999,                 1.3316,                 3.5766,                 1.1263,             0.00054477,             0.00054477,             0.00054477
                      2,                 1.3142,                 1.8367,                   1.07,                0.49564,                0.66674,                0.50654,                0.32341,                 1.3453,                 2.1666,                 1.2374,              0.0010968,              0.0010968,              0.0010968
                      3,                 1.2775,                 1.6045,                 1.0908,                0.47442,                0.64784,                0.48621,                0.31882,                 1.4377,                 2.1808,                 1.2359,              0.0016452,              0.0016452,              0.0016452
                      4,                 1.2473,                 1.4334,                 1.0675,                0.53003,                0.64226,                0.48852,                 0.3165,                 1.3604,                 1.9805,                 1.2994,              0.0016505,              0.0016505,              0.0016505
                      5,                 1.2341,                 1.3235,                 1.0641,                0.53688,                0.75403,                0.57547,                0.41621,                 1.2022,                 1.5492,                 1.0399,               0.001645,               0.001645,               0.001645
                      6,                 1.1888,                 1.2197,                 1.0533,                0.48528,                0.70524,                0.50984,                0.35595,                 1.1044,                 1.8389,                 1.0126,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.1542,                 1.1259,                  1.035,                0.55605,                0.68209,                0.59814,                0.44319,                 1.0782,                 1.3714,                0.99462,               0.001634,               0.001634,               0.001634
                      8,                 1.1414,                 1.0732,                 1.0176,                0.52639,                0.91912,                0.57258,                0.41263,                 1.0135,                 1.4286,                 1.0172,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.1216,                0.99644,                 1.0143,                0.46953,                0.82238,                0.57266,                0.42433,                 1.0683,                 1.8729,                 1.0022,               0.001623,               0.001623,               0.001623
                     10,                 1.1317,                0.97397,                 1.0167,                0.50574,                0.81078,                0.57361,                0.40571,                 1.3819,                 1.3983,                 1.2651,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.1061,                 0.9664,                 1.0182,                0.50972,                0.90786,                0.61302,                0.45837,                 1.1033,                 1.3661,                0.94965,               0.001612,               0.001612,               0.001612
                     12,                 1.0543,                0.90651,                0.98729,                0.49315,                0.83412,                0.54744,                  0.416,                 1.1283,                 1.3735,                 1.1995,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.0502,                0.87683,                0.99044,                0.53069,                0.86521,                0.57614,                0.44172,                  1.056,                 1.3972,                 1.0721,               0.001601,               0.001601,               0.001601
                     14,                 1.0246,                0.85693,                0.98381,                  0.511,                0.90612,                0.56747,                0.42911,                0.90376,                 1.6247,                0.93818,              0.0015955,              0.0015955,              0.0015955
